# x 	 y 	 x_err 	 y_err
 285.00000    0.00000   -0.27829    0.32818
 285.00000   15.00000   -0.40956    0.36362
 285.00000   30.00000   -0.14702    0.39906
 285.00000   45.00000   -0.27829    0.43450
 285.00000   60.00000    0.11551    0.60121
 285.00000   75.00000   -0.14702    0.63666
 300.00000  -75.00000   -0.37412   -0.11157
 300.00000  -60.00000   -0.11158    0.05514
 300.00000  -45.00000   -0.50538    0.09058
 300.00000  -30.00000   -0.11158   -0.00524
 300.00000  -15.00000   -0.11158    0.03020
 300.00000    0.00000    0.01969    0.19691
 300.00000   15.00000    0.01969    0.36362
 300.00000   30.00000   -0.24285    0.39906
 300.00000   45.00000   -0.11158    0.43450
 300.00000   60.00000    0.41349    0.73248
 300.00000   75.00000   -0.11158    0.63666
 315.00000  -75.00000   -0.33867   -0.11157
 315.00000  -60.00000   -0.20741   -0.20740
 315.00000  -45.00000   -0.33867   -0.04069
 315.00000  -30.00000   -0.07614   -0.13651
 315.00000  -15.00000   -0.07614    0.16147
 315.00000    0.00000   -0.07614    0.19691
 315.00000   15.00000   -0.20741    0.36362
 315.00000   30.00000    0.18640    0.26779
 315.00000   45.00000   -0.07614    0.43450
 315.00000   60.00000    0.18640    0.60121
 315.00000   75.00000    0.18640    0.63666
 330.00000  -75.00000   -0.30323   -0.37411
 330.00000  -60.00000   -0.56577   -0.07613
 330.00000  -45.00000   -0.69704    0.09058
 330.00000  -30.00000   -0.30323    0.12602
 330.00000  -15.00000   -0.17196    0.16147
 330.00000    0.00000   -0.17196    0.19691
 330.00000   15.00000    0.09057    0.36362
 330.00000   30.00000   -0.04070    0.39906
 330.00000   45.00000    0.22184    0.43450
 330.00000   60.00000    0.22184    0.60121
 330.00000   75.00000    0.22184    0.63666
 345.00000  -75.00000   -0.92413   -0.11157
 345.00000  -60.00000   -0.79286    0.05514
 345.00000  -45.00000   -0.53033    0.09058
 345.00000  -30.00000   -0.53033    0.12602
 345.00000  -15.00000   -0.53033    0.03020
 345.00000    0.00000   -0.00525    0.19691
 345.00000   15.00000   -0.53033    0.23235
 345.00000   30.00000   -0.39906    0.26779
 345.00000   45.00000   -0.00525    0.56577
 345.00000   60.00000   -0.26779    0.46995
 345.00000   75.00000    0.25728    0.76792
 360.00000  -75.00000   -1.01996   -0.11157
 360.00000  -60.00000   -0.75742    0.05514
 360.00000  -45.00000   -0.75742   -0.04069
 360.00000  -30.00000   -0.62615    0.12602
 360.00000  -15.00000    0.29273    0.03020
 360.00000    0.00000   -0.10108    0.19691
 360.00000   15.00000    0.16146    0.23235
 360.00000   30.00000    0.03019    0.26779
 360.00000   45.00000   -0.23235    0.30324
 360.00000   60.00000   -0.23235    0.46995
 360.00000   75.00000    0.29273    0.63666
 375.00000  -75.00000   -0.72198   -0.24284
 375.00000  -60.00000   -0.85324   -0.07613
 375.00000  -45.00000   -0.72198   -0.04069
 375.00000  -30.00000   -0.59071   -0.00524
 375.00000  -15.00000   -0.59071    0.03020
 375.00000    0.00000   -0.45944    0.06564
 375.00000   15.00000   -0.45944    0.10108
 375.00000   30.00000   -0.32817    0.13653
 375.00000   45.00000   -0.32817    0.17197
 375.00000   60.00000   -0.06564    0.33868
 375.00000   75.00000    0.06563    0.50539
 390.00000  -75.00000   -0.94907   -0.11157
 390.00000  -60.00000   -0.68653   -0.07613
 390.00000  -45.00000   -0.68653   -0.04069
 390.00000  -30.00000   -0.55527   -0.00524
 390.00000  -15.00000   -0.42400    0.03020
 390.00000    0.00000   -0.42400    0.06564
 390.00000   15.00000   -0.42400    0.10108
 390.00000   30.00000   -0.42400    0.13653
 390.00000   45.00000   -0.29273    0.30324
 390.00000   60.00000   -0.03019    0.33868
 390.00000   75.00000   -0.16146    0.37412
 405.00000  -75.00000   -0.91363    0.01970
 405.00000  -60.00000   -0.65109   -0.20740
 405.00000  -45.00000   -0.65109   -0.04069
 405.00000  -30.00000   -0.65109   -0.00524
 405.00000  -15.00000   -0.51982    0.03020
 405.00000    0.00000   -0.38856    0.06564
 405.00000   15.00000   -0.38856    0.10108
 405.00000   30.00000   -0.38856    0.13653
 405.00000   45.00000   -0.12602    0.17197
 405.00000   60.00000    0.00525    0.20741
 405.00000   75.00000   -0.12602    0.37412
 420.00000  -75.00000   -0.61565   -0.11157
 420.00000  -60.00000   -0.74692   -0.07613
 420.00000  -45.00000   -0.61565   -0.04069
 420.00000  -30.00000   -0.61565   -0.00524
 420.00000  -15.00000   -0.48438   -0.10107
 420.00000    0.00000   -0.48438    0.06564
 420.00000   15.00000   -0.48438    0.10108
 420.00000   30.00000   -0.22185    0.13653
 420.00000   45.00000   -0.22185    0.17197
 420.00000   60.00000   -0.22185    0.20741
 420.00000   75.00000    0.04069    0.24285
 435.00000  -75.00000   -0.71148   -0.11157
 435.00000  -60.00000   -0.84274   -0.07613
 435.00000  -45.00000   -0.71148   -0.17195
 435.00000  -30.00000   -0.58021   -0.00524
 435.00000  -15.00000   -0.31767   -0.10107
 435.00000    0.00000   -0.44894   -0.06563
 435.00000   15.00000   -0.31767    0.23235
 435.00000   30.00000   -0.18640    0.13653
 435.00000   45.00000   -0.05513    0.04070
 435.00000   60.00000   -0.18640    0.20741
 435.00000   75.00000   -0.05513    0.37412
 450.00000  -75.00000   -0.80730   -0.11157
 450.00000  -60.00000   -0.80730   -0.07613
 450.00000  -45.00000   -0.41350   -0.30322
 450.00000  -30.00000   -0.41350   -0.13651
 450.00000  -15.00000   -0.41350   -0.23234
 450.00000    0.00000   -0.28223    0.06564
 450.00000   15.00000   -0.15096   -0.03019
 450.00000   30.00000   -0.15096    0.13653
 450.00000   45.00000   -0.01969    0.17197
 450.00000   60.00000   -0.01969    0.20741
 450.00000   75.00000    0.11158    0.24285
